timestamp,flowrate_LE
2014-09-25,535
2014-09-26,413
2014-09-27,347
2014-09-28,393
2014-09-29,536
2014-09-30,501
2014-10-01,457
2014-10-02,313
2014-10-03,334
2014-10-04,387
2014-10-05,346
2014-10-06,412
2014-10-07,443
2014-10-08,415
2014-10-09,341
2014-10-10,390
2014-10-11,361
2014-10-12,390
2014-10-13,387
2014-10-14,297
2014-10-15,333
2014-10-16,497
2014-10-17,652
2014-10-18,630
2014-10-19,552
2014-10-20,636
2014-10-21,633
2014-10-22,655
2014-10-23,695
2014-10-24,713
2014-10-25,681
2014-10-26,714
2014-10-27,806
2014-10-28,578
2014-10-29,491
2014-10-30,421
2014-10-31,645
2014-11-01,754
2014-11-02,753
2014-11-03,670
2014-11-04,825
2014-11-05,825
2014-11-06,799
2014-11-07,818
2014-11-08,842
2014-11-09,838
2014-11-10,834
2014-11-11,835
2014-11-12,615
2014-11-13,290
2014-11-14,266
2014-11-15,265
2014-11-16,427
2014-11-17,849
2014-11-18,624
2014-11-19,580
2014-11-20,819
2014-11-21,817
2014-11-22,829
2014-11-23,832
2014-11-24,831
2014-11-25,834
2014-11-26,838
2014-11-27,843
2014-11-28,857
2014-11-29,857
2014-11-30,864
2014-12-01,857
2014-12-02,860
2014-12-03,857
2014-12-04,629
2014-12-05,844
2014-12-06,854
2014-12-07,859
2014-12-08,874
2014-12-09,865
2014-12-10,873
2014-12-11,893
2014-12-12,902
2014-12-13,887
2014-12-14,882
2014-12-15,896
2014-12-16,664
2014-12-17,891
2014-12-18,861
2014-12-19,863
2014-12-20,876
2014-12-21,869
2014-12-22,870
2014-12-23,861
2014-12-24,878
2014-12-25,880
2014-12-26,874
2014-12-27,888
2014-12-28,886
2014-12-29,858
2014-12-30,856
2014-12-31,858
2015-01-01,855
2015-01-02,797
2015-01-03,830
2015-01-04,852
2015-01-05,844
2015-01-06,855
2015-01-07,852
2015-01-08,821
2015-01-09,739
2015-01-10,690
2015-01-11,651
2015-01-12,842
2015-01-13,811
2015-01-14,783
2015-01-15,805
2015-01-16,780
2015-01-17,777
2015-01-18,772
2015-01-19,794
2015-01-20,826
2015-01-21,732
2015-01-22,740
2015-01-23,730
2015-01-24,648
2015-01-25,643
2015-01-26,502
2015-01-27,583
2015-01-28,584
2015-01-29,682
2015-01-30,816
2015-01-31,861
2015-02-01,855
2015-02-02,849
2015-02-03,826
2015-02-04,820
2015-02-05,839
2015-02-06,839
2015-02-07,845
2015-02-08,836
2015-02-09,845
2015-02-10,841
2015-02-11,840
2015-02-12,841
2015-02-13,853
2015-02-14,847
2015-02-15,854
2015-02-16,848
2015-02-17,844
2015-02-18,822
2015-02-19,827
2015-02-20,836
2015-02-21,836
2015-02-22,833
2015-02-23,833
2015-02-24,835
2015-02-25,846
2015-02-26,846
2015-02-27,842
2015-02-28,836
2015-03-01,834
2015-03-02,843
2015-03-03,849
2015-03-04,845
2015-03-05,835
2015-03-06,837
2015-03-07,827
2015-03-08,832
2015-03-09,852
2015-03-10,848
2015-03-11,607
2015-03-12,594
2015-03-13,828
2015-03-14,745
2015-03-15,746
2015-03-16,795
2015-03-17,818
2015-03-18,831
2015-03-19,867
2015-03-20,866
2015-03-21,847
2015-03-22,829
2015-03-23,832
2015-03-24,859
2015-03-25,868
2015-03-26,863
2015-03-27,859
2015-03-28,850
2015-03-29,856
2015-03-30,867
2015-03-31,850
2015-04-01,857
2015-04-02,859
2015-04-03,856
2015-04-04,863
2015-04-05,867
2015-04-06,858
2015-04-07,845
2015-04-08,750
2015-04-09,809
2015-04-10,840
2015-04-11,848
2015-04-12,835
2015-04-13,800
2015-04-14,848
2015-04-15,460
2015-04-16,389
2015-04-17,824
2015-04-18,745
2015-04-19,713
2015-04-20,364
2015-04-21,337
2015-04-22,568
2015-04-23,375
2015-04-24,388
2015-04-25,493
2015-04-26,456
2015-04-27,605
2015-04-28,592
2015-04-29,516
2015-04-30,532
2015-05-01,452
2015-05-02,462
2015-05-03,463
2015-05-04,600
2015-05-05,516
2015-05-06,468
2015-05-07,461
2015-05-08,512
2015-05-09,461
2015-05-10,464
2015-05-11,523
2015-05-12,618
2015-05-13,505
2015-05-14,499
2015-05-15,502
2015-05-16,499
2015-05-17,491
2015-05-18,520
2015-05-19,522
2015-05-20,542
2015-05-21,707
2015-05-22,473
2015-05-23,458
2015-05-24,468
2015-05-25,520
2015-05-26,481
2015-05-27,472
2015-05-28,434
2015-05-29,513
2015-05-30,727
2015-05-31,727
2015-06-01,571
2015-06-02,587
2015-06-03,586
2015-06-04,571
2015-06-05,575
2015-06-06,571
2015-06-07,523
2015-06-08,562
2015-06-09,609
2015-06-10,591
2015-06-11,611
2015-06-12,747
2015-06-13,761
2015-06-14,759
2015-06-15,673
2015-06-16,646
2015-06-17,645
2015-06-18,682
2015-06-19,756
2015-06-20,751
2015-06-21,755
2015-06-22,619
2015-06-23,659
2015-06-24,665
2015-06-25,577
2015-06-26,325
2015-06-27,325
2015-06-28,516
2015-06-29,548
2015-06-30,667
2015-07-01,590
2015-07-02,344
2015-07-03,306
2015-07-04,610
2015-07-05,608
2015-07-06,424
2015-07-07,430
2015-07-08,465
2015-07-09,610
2015-07-10,607
2015-07-11,607
2015-07-12,604
2015-07-13,603
2015-07-14,520
2015-07-15,525
2015-07-16,698
2015-07-17,717
2015-07-18,723
2015-07-19,723
2015-07-20,732
2015-07-21,723
2015-07-22,713
2015-07-23,713
2015-07-24,716
2015-07-25,719
2015-07-26,633
2015-07-27,716
2015-07-28,726
2015-07-29,729
2015-07-30,728
2015-07-31,726
2015-08-01,730
2015-08-02,730
2015-08-03,728
2015-08-04,719
2015-08-05,721
2015-08-06,725
2015-08-07,730
2015-08-08,559
2015-08-09,651
2015-08-10,706
2015-08-11,725
2015-08-12,657
2015-08-13,739
2015-08-14,583
2015-08-15,655
2015-08-16,678
2015-08-17,642
2015-08-18,644
2015-08-19,706
2015-08-20,716
2015-08-21,717
2015-08-22,716
2015-08-23,526
2015-08-24,601
2015-08-25,640
2015-08-26,640
2015-08-27,662
2015-08-28,643
2015-08-29,586
2015-08-30,718
2015-08-31,711
2015-09-01,639
2015-09-02,579
2015-09-03,453
2015-09-04,537
2015-09-05,727
2015-09-06,734
2015-09-07,614
2015-09-08,613
2015-09-09,604
2015-09-10,639
2015-09-11,737
2015-09-12,735
2015-09-13,648
2015-09-14,406
2015-09-15,366
2015-09-16,343
2015-09-17,303
2015-09-18,476
2015-09-19,699
2015-09-20,714
2015-09-21,527
2015-09-22,581
2015-09-23,531
2015-09-24,618
2015-09-25,741
2015-09-26,727
2015-09-27,723
2015-09-28,619
2015-09-29,581
2015-09-30,584
2015-10-01,590
2015-10-02,715
2015-10-03,735
2015-10-04,733
2015-10-05,595
2015-10-06,581
2015-10-07,538
2015-10-08,724
2015-10-09,654
2015-10-10,693
2015-10-11,642
2015-10-12,588
2015-10-13,607
2015-10-14,600
2015-10-15,682
2015-10-16,726
2015-10-17,721
2015-10-18,731
2015-10-19,572
2015-10-20,667
2015-10-21,709
2015-10-22,714
2015-10-23,509
2015-10-24,437
2015-10-25,409
2015-10-26,638
2015-10-27,709
2015-10-28,597
2015-10-29,649
2015-10-30,660
2015-10-31,497
2015-11-01,465
2015-11-02,431
2015-11-03,426
2015-11-04,443
2015-11-05,444
2015-11-06,567
2015-11-07,637
2015-11-08,462
2015-11-09,464
2015-11-10,455
2015-11-11,447
2015-11-12,470
2015-11-13,400
2015-11-14,444
2015-11-15,456
2015-11-16,524
2015-11-17,508
2015-11-18,424
2015-11-19,505
2015-11-20,532
2015-11-21,692
2015-11-22,648
2015-11-23,610
2015-11-24,623
2015-11-25,495
2015-11-26,607
2015-11-27,514
2015-11-28,424
2015-11-29,571
2015-11-30,657
2015-12-01,481
2015-12-02,599
2015-12-03,644
2015-12-04,475
2015-12-05,307
2015-12-06,346
2015-12-07,534
2015-12-08,438
2015-12-09,359
2015-12-10,474
2015-12-11,653
2015-12-12,636
2015-12-13,636
2015-12-14,731
2015-12-15,695
2015-12-16,652
2015-12-17,648
2015-12-18,493
2015-12-19,437
2015-12-20,393
2015-12-21,621
2015-12-22,540
2015-12-23,512
2015-12-24,489
2015-12-25,474
2015-12-26,505
2015-12-27,548
2015-12-28,349
2015-12-29,347
2015-12-30,517
2015-12-31,461
2016-01-01,571
2016-01-02,453
2016-01-03,522
2016-01-04,544
2016-01-05,597
2016-01-06,666
2016-01-07,744
2016-01-08,738
2016-01-09,757
2016-01-10,677
2016-01-11,575
2016-01-12,703
2016-01-13,696
2016-01-14,713
2016-01-15,760
2016-01-16,781
2016-01-17,820
2016-01-18,833
2016-01-19,753
2016-01-20,778
2016-01-21,720
2016-01-22,736
2016-01-23,642
2016-01-24,337
2016-01-25,424
2016-01-26,360
2016-01-27,366
2016-01-28,347
2016-01-29,506
2016-01-30,398
2016-01-31,482
2016-02-01,530
2016-02-02,484
2016-02-03,601
2016-02-04,779
2016-02-05,866
2016-02-06,870
2016-02-07,873
2016-02-08,879
2016-02-09,873
2016-02-10,879
2016-02-11,878
2016-02-12,872
2016-02-13,870
2016-02-14,881
2016-02-15,877
2016-02-16,870
2016-02-17,869
2016-02-18,862
2016-02-19,853
2016-02-20,866
2016-02-21,863
2016-02-22,869
2016-02-23,869
2016-02-24,863
2016-02-25,860
2016-02-26,858
2016-02-27,859
2016-02-28,857
2016-02-29,856
2016-03-01,857
2016-03-02,859
2016-03-03,861
2016-03-04,857
2016-03-05,860
2016-03-06,864
2016-03-07,866
2016-03-08,861
2016-03-09,862
2016-03-10,864
2016-03-11,858
2016-03-12,861
2016-03-13,862
2016-03-14,868
2016-03-15,669
2016-03-16,863
2016-03-17,839
2016-03-18,828
2016-03-19,744
2016-03-20,711
2016-03-21,795
2016-03-22,834
2016-03-23,802
2016-03-24,842
2016-03-25,849
2016-03-26,682
2016-03-27,516
2016-03-28,460
